Heading	Description	EventCatId	LogEvent	DisplayEvent	EventType	OverrideAlarm	Priority	RestoreEventCode	SendResetToPanel	ReponseRequired	Required2ndResponse	EventCode	EventClass	Auditting	UpdateStatus	StatusOptions	MobileNotification	EventColor	ChallengerCos	ChEvent	ChSubEvent	oPoint	sPoint	oUser	sUser	oJob	sJob	oFloor	sFloor	oRegion	sRegion				PageOnEvent	PageOnAck	PageOnRemoval
	Process command queue started	1	1	1	0	0	60	719	0	0	0	717	41	0	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Processing command queue	1	0	0	0	0	60	719	0	0	0	718	35	0	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Process command queue complete	1	1	1	0	0	60	0	0	0	0	719	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Comms - auto enrolled	1	1	1	0	0	60	0	0	0	0	720	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Panel - firmware upgrade initiate	1	1	1	0	0	60	723	0	0	0	721	51	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Panel - send firmware - in progress	1	1	1	0	0	60	723	0	0	0	722	3	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Panel - validating firmware file	1	1	1	0	0	60	0	0	0	0	738	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Panel - upgrade task complete	1	1	1	0	0	60	0	0	0	0	723	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Panel - firmware upgrade fail	1	1	1	0	0	60	0	0	0	0	726	51	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Disabled	1	1	1	0	0	60	725	0	0	0	724	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Enabled	1	1	1	2	0	60	0	0	0	0	725	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Door group over 80% limit	1	1	1	1	0	60	0	0	1	0	727	41	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Door group max limit reached	1	1	1	1	0	50	0	0	1	0	728	41	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Floor group over 80% limit	1	1	1	1	0	60	0	0	1	0	729	41	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Floor group max limit reached	1	1	1	1	0	50	0	0	1	0	730	41	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Expander - firmware upgrade initiate	1	1	1	0	0	60	733	0	0	0	731	51	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Expander - send firmware - in progress	1	1	1	0	0	60	733	0	0	0	732	3	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Expander - validating firmware file	1	1	1	0	0	60	0	0	0	0	739	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Expander - upgrade task complete	1	1	1	0	0	60	733	0	0	0	740	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Expander - firmware upgrade fail	1	1	1	0	0	60	0	0	0	0	734	51	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Expander - firmware upgrade complete	1	1	1	0	0	60	0	0	0	0	733	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	UltraSync - successfully authenticated	1	1	1	0	0	60	0	0	0	0	735	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Network - successfully authenticated	1	1	1	0	0	60	0	0	0	0	736	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Connection PIN changed	1	1	1	0	0	60	0	0	0	0	737	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
